section,strategy,target,dataset,guard,aspect,prefix,metric,value,n
gj_per_target,2506.02479v2,qwen-2.5-7b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.094898,1960
gj_per_target,2506.02479v2,qwen-2.5-7b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.014286,1960
gj_per_target,2506.02479v2,qwen-2.5-7b,ALL,gptoss_safeguard,strict_gj,target,rate,0.082302,4119
gj_per_target,2506.02479v2,qwen-2.5-7b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.021607,4119
gj_paper_merged,2506.02479v2,merged,ALL,wildguard,strict_gj,target,rate,0.108035,4082
lift_paper_merged,2506.02479v2,merged,HarmfulQA,wildguard,lift_pp,target-vanilla,value,13.045995,1933
lift_paper_merged,2506.02479v2,merged,AdvBench,wildguard,lift_pp,target-vanilla,value,1.923077,520
lift_paper_merged,2506.02479v2,merged,HarmBench,wildguard,lift_pp,target-vanilla,value,2.056436,390
lift_paper_merged,2506.02479v2,merged,JBB-Behaviors,wildguard,lift_pp,target-vanilla,value,11.333333,300
lift_paper_merged,2506.02479v2,merged,do-not-answer,wildguard,lift_pp,target-vanilla,value,12.992545,939
lift_paper_merged,2506.02479v2,merged,ALL,wildguard,lift_pp,target-vanilla,value,10.439185,4082
gj_paper_merged,2506.02479v2,merged,ALL,qwen3guard,strict_gj,target,rate,0.000000,4119
lift_paper_merged,2506.02479v2,merged,HarmfulQA,qwen3guard,lift_pp,target-vanilla,value,-0.561224,1960
lift_paper_merged,2506.02479v2,merged,AdvBench,qwen3guard,lift_pp,target-vanilla,value,0.000000,520
lift_paper_merged,2506.02479v2,merged,HarmBench,qwen3guard,lift_pp,target-vanilla,value,0.000000,400
lift_paper_merged,2506.02479v2,merged,JBB-Behaviors,qwen3guard,lift_pp,target-vanilla,value,-0.333333,300
lift_paper_merged,2506.02479v2,merged,do-not-answer,qwen3guard,lift_pp,target-vanilla,value,-0.106496,939
lift_paper_merged,2506.02479v2,merged,ALL,qwen3guard,lift_pp,target-vanilla,value,-0.315611,4119
gj_paper_merged,2506.02479v2,merged,ALL,granite4,strict_gj,target,rate,0.122117,4119
lift_paper_merged,2506.02479v2,merged,HarmfulQA,granite4,lift_pp,target-vanilla,value,12.142857,1960
lift_paper_merged,2506.02479v2,merged,AdvBench,granite4,lift_pp,target-vanilla,value,3.076923,520
lift_paper_merged,2506.02479v2,merged,HarmBench,granite4,lift_pp,target-vanilla,value,-4.250000,400
lift_paper_merged,2506.02479v2,merged,JBB-Behaviors,granite4,lift_pp,target-vanilla,value,6.000000,300
lift_paper_merged,2506.02479v2,merged,do-not-answer,granite4,lift_pp,target-vanilla,value,17.678381,939
lift_paper_merged,2506.02479v2,merged,ALL,granite4,lift_pp,target-vanilla,value,10.220927,4119
gj_paper_merged,2506.02479v2,merged,ALL,llamaguard,strict_gj,target,rate,0.136441,4119
lift_paper_merged,2506.02479v2,merged,HarmfulQA,llamaguard,lift_pp,target-vanilla,value,9.234694,1960
